area,bedroom,price,floor,road-width,parking
 99 m,3 phòng ngủ, 3 tỷ ,,,chỗ để xe
 69 m,2 phòng ngủ," 1,89 tỷ ",,,
 80 m,3 phòng ngủ," 1,75 tỷ ",8 lầu,,
 64 m,2 phòng ngủ," 2,15 tỷ ",10 lầu,,
 74 m,3 phòng ngủ," 1,95 tỷ ",35 lầu,,
 63 m,2 phòng ngủ," 1,55 tỷ ",10 lầu,,
 132 m,3 phòng ngủ," 3,5 tỷ ",,,chỗ để xe
 82 m,2 phòng ngủ," 3,3 tỷ ",15 lầu,,chỗ để xe
 84 m,2 phòng ngủ," 2,5 tỷ ",16 lầu,,
 69 m,2 phòng ngủ," 1,95 tỷ ",,,
 55 m,2 phòng ngủ," 1,18 tỷ ",1 lầu,8m,
 81 m,2 phòng ngủ," 2,44 tỷ ",27 lầu,,
 50 m,2 phòng ngủ," 1,05 tỷ ",8 lầu,,chỗ để xe
 70 m,3 phòng ngủ," 1,95 tỷ ",3 lầu,,chỗ để xe
 82 m,3 phòng ngủ," 2,3 tỷ ",,,
 55 m,2 phòng ngủ," 1,55 tỷ ",42 lầu,,
 46 m,1 phòng ngủ," 1,12 tỷ ",1 lầu,12m,
 33 m,1 phòng ngủ, 600 triệu ,5 lầu,5m,
 88 m,3 phòng ngủ, 4 tỷ ,16 lầu,24m,
 71 m,2 phòng ngủ, 2 tỷ ,,,
 84 m,2 phòng ngủ," 2,65 tỷ ",11 lầu,,chỗ để xe
 56 m,2 phòng ngủ," 2,05 tỷ ",10 lầu,,
 56 m,2 phòng ngủ," 1,5 tỷ ",1 lầu,,
 70 m,2 phòng ngủ," 2,666 tỷ ",18 lầu,,chỗ để xe
 85 m,2 phòng ngủ," 2,65 tỷ ",9 lầu,0m,
 54 m,2 phòng ngủ," 1,2 tỷ ",6 lầu,,
 45 m,1 phòng ngủ," 1,23 tỷ ",28 lầu,,
 45 m,1 phòng ngủ," 1,25 tỷ ",28 lầu,,
 56 m,2 phòng ngủ," 1,78 tỷ ",15 lầu,,
 75 m,2 phòng ngủ," 3,1 tỷ ",,,
 68 m,2 phòng ngủ," 2,6 tỷ ",29 lầu,10m,chỗ để xe
 74 m,2 phòng ngủ, 2 tỷ ,17 lầu,,chỗ để xe
 55 m,2 phòng ngủ," 2,3 tỷ ",,,chỗ để xe
 80 m,2 phòng ngủ," 3,35 tỷ ",1 lầu,5m,
 45 m,1 phòng ngủ," 1,29 tỷ ",40 lầu,,
 68 m,2 phòng ngủ," 1,9 tỷ ",,,
 72 m,2 phòng ngủ," 2,95 tỷ ",,4m,
 56 m,2 phòng ngủ," 1,68 tỷ ",10 lầu,,
 71 m,2 phòng ngủ," 2,25 tỷ ",11 lầu,,
 56 m,2 phòng ngủ," 1,48 tỷ ",39 lầu,,
 86 m,3 phòng ngủ," 3,75 tỷ ",,15m,
 75 m,2 phòng ngủ," 2,3 tỷ ",1 lầu,,
 56 m,2 phòng ngủ," 1,55 tỷ ",,,
 71 m,2 phòng ngủ," 1,9 tỷ ",15 lầu,40m,
 107 m,3 phòng ngủ," 2,98 tỷ ",28 lầu,20m,
 46 m,2 phòng ngủ, 45 triệu / m,10 lầu,,chỗ để xe
 107 m,3 phòng ngủ," 2,9 tỷ ",1 lầu,,
 65 m,2 phòng ngủ," 2,4 tỷ ",18 lầu,5m,
 80 m,2 phòng ngủ, 41 triệu / m,16 lầu,,
 76 m,2 phòng ngủ," 1,3 tỷ ",1 lầu,,
 65 m,2 phòng ngủ," 2,4 tỷ ",6 lầu,30m,chỗ để xe
 141 m,3 phòng ngủ," 5,2 tỷ ",1 lầu,15m,chỗ để xe
 85 m,2 phòng ngủ," 3,2 tỷ ",20 lầu,,chỗ để xe
 96 m,3 phòng ngủ," 3,8 tỷ ",,,
