area,bedroom,price
 65 m,2 phòng ngủ," 1,75 tỷ "
 74 m,3 phòng ngủ," 1,76 tỷ "
 56 m,2 phòng ngủ," 1,5 tỷ "
 74 m,3 phòng ngủ," 2,1 tỷ "
 68 m,2 phòng ngủ," 2,4 tỷ "
 65 m,2 phòng ngủ," 1,87 tỷ "
 60 m,2 phòng ngủ," 2,35 tỷ "
 75 m,17 phòng ngủ," 8,8 tỷ "
 65 m,2 phòng ngủ," 2,4 tỷ "
 96 m,3 phòng ngủ," 3,43 tỷ "
 72 m,2 phòng ngủ," 2,88 tỷ "
 10.700 m,, 18 triệu / m
 125 m,3 phòng ngủ," 3,7 tỷ "
 59 m,2 phòng ngủ," 2,4 tỷ "
 74 m,3 phòng ngủ," 2,05 tỷ "
 20 m,1 phòng ngủ, 850 triệu 
 130 m,2 phòng ngủ, 3 tỷ 
 75 m,3 phòng ngủ, 3 tỷ 
 108 m,3 phòng ngủ," 3,95 tỷ "
 35 m,1 phòng ngủ," 1,25 tỷ "
 84 m,2 phòng ngủ, 3 tỷ 
 90 m,3 phòng ngủ, 4 tỷ 
 74 m,3 phòng ngủ," 2,1 tỷ "
 70 m,2 phòng ngủ," 2,1 tỷ "
 90 m,3 phòng ngủ," 3,7 tỷ "
 65 m,2 phòng ngủ," 2,4 tỷ "
 58 m,2 phòng ngủ," 2,7 tỷ "
 76 m,3 phòng ngủ," 3,7 tỷ "
 84 m,3 phòng ngủ," 2,4 tỷ "
 75 m,3 phòng ngủ," 2,47 tỷ "
 99 m,3 phòng ngủ, 3 tỷ 
 75 m,2 phòng ngủ," 2,2 tỷ "
 112 m,22 phòng ngủ," 21,5 tỷ "
 55 m,1 phòng ngủ," 1,35 tỷ "
 78 m,4 phòng ngủ," 1,999 tỷ "
 64 m,2 phòng ngủ," 2,35 tỷ "
 99 m,3 phòng ngủ," 4,05 tỷ "
 60 m,12 phòng ngủ," 8,4 tỷ "
 71 m,2 phòng ngủ," 3,3 tỷ "
 56 m,2 phòng ngủ," 1,87 tỷ "
 68 m,2 phòng ngủ," 2,7 tỷ "
 56 m,2 phòng ngủ," 1,87 tỷ "
 60 m,2 phòng ngủ," 1,9 tỷ "
 82 m,2 phòng ngủ," 2,75 tỷ "
 70 m,2 phòng ngủ," 2,75 tỷ "
 75 m,2 phòng ngủ," 2,35 tỷ "
 80 m,22 phòng ngủ," 2,1 tỷ "
 75 m,2 phòng ngủ," 2,85 tỷ "
 54 m,2 phòng ngủ," 1,399 tỷ "
 106 m,3 phòng ngủ," 4,2 tỷ "
 50 m,1 phòng ngủ," 1,4 tỷ "
 50 m,2 phòng ngủ," 1,6 tỷ "
 50 m,2 phòng ngủ," 1,6 tỷ "
 68 m,2 phòng ngủ," 2,388 tỷ "
 87 m,2 phòng ngủ," 2,4 tỷ "
 68 m,2 phòng ngủ," 2,4 tỷ "
 55 m,2 phòng ngủ," 1,62 tỷ "
 76 m,2 phòng ngủ," 2,35 tỷ "
 75 m,2 phòng ngủ," 2,3 tỷ "
 90 m,3 phòng ngủ," 3,2 tỷ "
 49 m,1 phòng ngủ," 1,76 tỷ "
 90 m,3 phòng ngủ, 41 triệu / m
 49 m,1 phòng ngủ," 1,76 tỷ "
 76 m,3 phòng ngủ," 3,7 tỷ "
 60 m,2 phòng ngủ," 1,88 tỷ "
 66 m,2 phòng ngủ," 2,73 tỷ "
 50 m,2 phòng ngủ," 1,95 tỷ "
 56 m,2 phòng ngủ," 1,42 tỷ "
 73 m,3 phòng ngủ," 1,8 tỷ "
 68 m,2 phòng ngủ," 2,15 tỷ "
 85 m,2 phòng ngủ," 2,3 tỷ "
 68 m,2 phòng ngủ," 2,7 tỷ "
 60 m,2 phòng ngủ," 1,9 tỷ "
 46 m,2 phòng ngủ," 1,02 tỷ "
 70 m,2 phòng ngủ," 1,6 tỷ "
 67 m,2 phòng ngủ," 3,2 tỷ "
 54 m,2 phòng ngủ, 27 triệu / m
 48 m,1 phòng ngủ," 1,68 tỷ "
 65 m,2 phòng ngủ," 1,65 tỷ "
 55 m,1 phòng ngủ," 1,78 tỷ "
 82 m,2 phòng ngủ," 2,25 tỷ "
 54 m,2 phòng ngủ," 1,58 tỷ "
 85 m,2 phòng ngủ," 2,7 tỷ "
 78 m,2 phòng ngủ," 2,77 tỷ "
 33 m,1 phòng ngủ, 600 triệu 
 74 m,3 phòng ngủ," 2,15 tỷ "
 76 m,2 phòng ngủ," 2,6 tỷ "
 55 m,2 phòng ngủ," 2,05 tỷ "
 90 m,3 phòng ngủ," 2,55 tỷ "
 71 m,2 phòng ngủ," 2,29 tỷ "
 85 m,2 phòng ngủ," 3,6 tỷ "
 78 m,3 phòng ngủ," 2,65 tỷ "
 90 m,3 phòng ngủ," 2,69 tỷ "
 56 m,2 phòng ngủ," 2,2 tỷ "
 81 m,2 phòng ngủ," 2,65 tỷ "
 90 m,3 phòng ngủ," 2,7 tỷ "
 65 m,2 phòng ngủ," 1,53 tỷ "
 65 m,2 phòng ngủ," 1,6 tỷ "
 54 m,2 phòng ngủ," 1,32 tỷ "
 47 m,1 phòng ngủ," 1,05 tỷ "
 68 m,2 phòng ngủ," 1,7 tỷ "
 97 m,3 phòng ngủ," 3,45 tỷ "
 71 m,3 phòng ngủ," 2,5 tỷ "
 90 m,2 phòng ngủ," 3,5 tỷ "
 68 m,2 phòng ngủ," 3,2 tỷ "
 100 m,3 phòng ngủ," 2,9 tỷ "
 67 m,2 phòng ngủ," 1,6 tỷ "
 72 m,2 phòng ngủ," 1,7 tỷ "
 48 m,1 phòng ngủ," 1,35 tỷ "
 74 m,2 phòng ngủ," 1,83 tỷ "
 57 m,2 phòng ngủ," 2,35 tỷ "
 81 m,3 phòng ngủ," 3,3 tỷ "
 47 m,2 phòng ngủ," 1,1 tỷ "
 53 m,2 phòng ngủ," 1,52 tỷ "
 112 m,26 phòng ngủ," 19,5 tỷ "
 71 m,3 phòng ngủ," 2,5 tỷ "
 71 m,2 phòng ngủ," 3,2 tỷ "
 50 m,1 phòng ngủ," 1,78 tỷ "
 50 m,2 phòng ngủ," 1,05 tỷ "
 90 m,3 phòng ngủ, 3 tỷ 
 76 m,3 phòng ngủ," 1,98 tỷ "
 57 m,2 phòng ngủ," 1,55 tỷ "
 100 m,2 phòng ngủ," 3,3 tỷ "
 80 m,3 phòng ngủ," 2,85 tỷ "
 82 m,3 phòng ngủ," 2,46 tỷ "
 93 m,3 phòng ngủ," 3,55 tỷ "
 161 m,3 phòng ngủ," 4,5 tỷ "
 76 m,3 phòng ngủ," 1,7 tỷ "
 63 m,2 phòng ngủ," 1,4 tỷ "
 106 m,3 phòng ngủ," 4,1 tỷ "
 81 m,2 phòng ngủ," 2,85 tỷ "
 93 m,3 phòng ngủ, 4 tỷ 
 90 m,2 phòng ngủ," 3,3 tỷ "
 82 m,2 phòng ngủ," 2,3 tỷ "
 100 m,3 phòng ngủ," 3,76 tỷ "
 90 m,2 phòng ngủ," 3,4 tỷ "
 50 m,2 phòng ngủ," 1,05 tỷ "
 68 m,2 phòng ngủ," 1,55 tỷ "
 74 m,3 phòng ngủ," 2,02 tỷ "
 70 m,2 phòng ngủ, 39 triệu / m
 56 m,2 phòng ngủ," 1,9 tỷ "
