area,bedroom,price,floor,road-width,parking
67.0,2.0,2.12,1.0,15.0,0
91.0,3.0,3.5,20.0,10.0,1
100.0,3.0,3.65,6.0,,1
90.0,2.0,3.3,19.0,4.0,1
130.0,3.0,3.75,18.0,15.0,1
95.0,3.0,2.6,,,0
76.0,2.0,3.09,,,0
68.0,2.0,1.9,1.0,50.0,1
100.0,4.0,3.7,3.0,,1
81.0,3.0,2.13,1.0,12.0,0
100.0,3.0,2.68,1.0,12.0,0
72.0,2.0,2.9,10.0,12.0,0
75.0,2.0,2.56,10.0,6.0,1
55.0,2.0,1.65,40.0,6.0,1
81.0,3.0,3.36,10.0,6.0,1
66.0,2.0,2.08,9.0,4.0,1
94.0,3.0,3.75,20.0,5.0,1
90.0,3.0,2.55,7.0,,1
90.0,3.0,3.36,8.0,3.0,0
91.0,3.0,3.5,1.0,12.0,1
85.0,3.0,2.15,15.0,,0
85.0,2.0,3.1,1.0,20.0,1
81.0,2.0,3.3,1.0,20.0,1
82.0,3.0,3.28,5.0,2.0,1
79.0,2.0,2.7,,,0
57.0,2.0,2.65,23.0,8.0,0
110.0,3.0,4.55,4.0,5.0,0
90.0,3.0,3.58,17.0,8.0,0
78.0,2.0,2.57,15.0,8.0,0
63.0,2.0,1.68,6.0,12.0,0
75.0,2.0,2.5,7.0,19.0,1
112.0,3.0,4.5,6.0,9.0,0
81.0,3.0,1.8,7.0,19.0,1
60.0,2.0,1.65,24.0,5.0,1
54.0,2.0,1.65,8.0,5.0,1
115.0,3.0,2.89,1.0,6.0,1
128.0,3.0,4.49,1.0,8.0,1
88.0,3.0,2.45,1.0,8.0,1
100.0,3.0,3.69,1.0,6.0,1
86.0,2.0,1.69,1.0,5.0,1
76.0,2.0,2.75,3.0,2.0,1
82.0,2.0,2.52,6.0,6.0,1
65.0,2.0,1.62,42.0,,0
54.0,2.0,1.3,25.0,,0
84.0,2.0,2.61,9.0,15.0,0
76.0,2.0,2.97,21.0,10.0,0
74.0,2.0,2.9,29.0,,1
79.0,2.0,3.2,1.0,,0
103.0,2.0,2.78,1.0,,0
64.0,2.0,2.35,15.0,,0
58.0,2.0,1.55,1.0,0.0,0
62.0,2.0,2.85,,,0
123.0,3.0,4.8,20.0,30.0,1
86.0,2.0,2.58,19.0,,1
79.0,2.0,2.34,1.0,4.0,1
118.0,3.0,2.79,22.0,8.0,0
114.0,3.0,3.39,1.0,10.0,1
45.0,2.0,0.68,5.0,,0
92.0,3.0,2.9,30.0,30.0,1
