area,bedroom,price
74.0,2.0,2.72
74.0,3.0,2.25
65.0,2.0,1.36
70.0,2.0,2.2
74.0,3.0,1.95
56.0,2.0,1.78
45.0,1.0,1.25
56.0,2.0,1.45
74.0,3.0,1.95
76.0,3.0,1.78
64.0,2.0,3.25
90.0,2.0,3.0
65.0,2.0,1.75
91.0,3.0,3.5
90.0,3.0,2.45
45.0,1.0,1.78
70.0,2.0,2.67
60.0,2.0,1.6
81.0,2.0,2.7
78.0,3.0,1.8
63.0,2.0,2.7
131.0,3.0,4.06
